worker,task_type,size,repeat,pair_index,duration_ms,error,cpu_util_pct,ram_usage_kib,ram_max_kib,cpu_limit_cores,metrics_error
worker6:2006,monte_carlo,2000000,1,0,471,,0.07,7832.00,2097152.00,2.00,
worker5:2005,monte_carlo,2000000,1,0,471,,0.12,8620.00,1572864.00,1.50,
worker4:2004,monte_carlo,2000000,1,0,479,,0.11,8392.00,1048576.00,1.00,
worker3:2003,monte_carlo,2000000,1,0,486,,0.06,8224.00,819200.00,0.80,
worker2:2002,monte_carlo,2000000,1,0,679,,0.10,8296.00,512000.00,0.50,
worker5:2005,monte_carlo,2000000,2,0,311,,0.12,8620.00,1572864.00,1.50,
worker6:2006,monte_carlo,2000000,2,0,315,,0.07,7832.00,2097152.00,2.00,
worker4:2004,monte_carlo,2000000,2,0,314,,0.11,8392.00,1048576.00,1.00,
worker3:2003,monte_carlo,2000000,2,0,409,,0.06,8224.00,819200.00,0.80,
worker1:2001,monte_carlo,2000000,1,0,1074,,0.12,8536.00,307200.00,0.30,
worker6:2006,monte_carlo,2000000,3,0,311,,60.34,11788.00,2097152.00,2.00,
worker5:2005,monte_carlo,2000000,3,0,314,,58.11,10468.00,1572864.00,1.50,
worker4:2004,monte_carlo,2000000,3,0,314,,62.27,11660.00,1048576.00,1.00,
worker2:2002,monte_carlo,2000000,2,0,512,,0.10,8296.00,512000.00,0.50,
worker3:2003,monte_carlo,2000000,3,0,415,,56.71,8416.00,819200.00,0.80,
worker5:2005,monte_carlo,4000000,1,0,612,,58.11,10468.00,1572864.00,1.50,
worker6:2006,monte_carlo,4000000,1,0,612,,60.34,11788.00,2097152.00,2.00,
worker4:2004,monte_carlo,4000000,1,0,610,,62.27,11660.00,1048576.00,1.00,
worker2:2002,monte_carlo,2000000,3,0,612,,40.56,11452.00,512000.00,0.50,
worker1:2001,monte_carlo,2000000,2,0,910,,23.97,11740.00,307200.00,0.30,
worker3:2003,monte_carlo,4000000,1,0,710,,56.71,8416.00,819200.00,0.80,
worker5:2005,monte_carlo,4000000,2,0,622,,87.57,11772.00,1572864.00,1.50,
worker4:2004,monte_carlo,4000000,2,0,620,,86.67,12044.00,1048576.00,1.00,
worker6:2006,monte_carlo,4000000,2,0,622,,87.06,11996.00,2097152.00,2.00,
worker3:2003,monte_carlo,4000000,2,0,818,,72.22,11924.00,819200.00,0.80,
worker1:2001,monte_carlo,2000000,3,0,916,,30.16,11772.00,307200.00,0.30,
worker2:2002,monte_carlo,4000000,1,0,1112,,50.23,11784.00,512000.00,0.50,
worker5:2005,monte_carlo,4000000,3,0,613,,87.57,11772.00,1572864.00,1.50,
worker6:2006,monte_carlo,4000000,3,0,616,,87.06,11996.00,2097152.00,2.00,
worker4:2004,monte_carlo,4000000,3,0,616,,86.67,12044.00,1048576.00,1.00,
worker3:2003,monte_carlo,4000000,3,0,721,,67.34,8268.00,819200.00,0.80,
worker4:2004,monte_carlo,6000000,1,0,910,,91.17,11828.00,1048576.00,1.00,
worker5:2005,monte_carlo,6000000,1,0,912,,92.29,11560.00,1572864.00,1.50,
worker6:2006,monte_carlo,6000000,1,0,911,,92.32,12112.00,2097152.00,2.00,
worker2:2002,monte_carlo,4000000,2,0,1117,,50.00,11772.00,512000.00,0.50,
worker3:2003,monte_carlo,6000000,1,0,1011,,67.34,8268.00,819200.00,0.80,
worker6:2006,monte_carlo,6000000,2,0,816,,89.77,8564.00,2097152.00,2.00,
worker1:2001,monte_carlo,4000000,1,0,1817,,30.02,11644.00,307200.00,0.30,
worker4:2004,monte_carlo,6000000,2,0,917,,88.39,8784.00,1048576.00,1.00,
worker5:2005,monte_carlo,6000000,2,0,918,,91.92,11568.00,1572864.00,1.50,
worker2:2002,monte_carlo,4000000,3,0,1110,,46.55,12024.00,512000.00,0.50,
worker6:2006,monte_carlo,6000000,3,0,913,,88.29,11980.00,2097152.00,2.00,
worker3:2003,monte_carlo,6000000,2,0,1122,,78.36,11672.00,819200.00,0.80,
worker4:2004,monte_carlo,6000000,3,0,913,,89.87,12332.00,1048576.00,1.00,
