worker,task_type,size,repeat,pair_index,duration_ms,error,cpu_util_pct,ram_usage_kib,ram_max_kib,cpu_limit_cores,metrics_error
worker6:2006,monte_carlo,2000000,1,1,512,,0.19,8256.00,2097152.00,2.00,
worker6:2006,monte_carlo,2000000,1,2,513,,0.19,8256.00,2097152.00,2.00,
worker5:2005,monte_carlo,2000000,1,1,613,,0.17,8192.00,1572864.00,1.50,
worker5:2005,monte_carlo,2000000,1,2,514,,0.17,8192.00,1572864.00,1.50,
worker4:2004,monte_carlo,2000000,1,1,704,,0.12,8132.00,1048576.00,1.00,
worker4:2004,monte_carlo,2000000,1,2,704,,0.12,8132.00,1048576.00,1.00,
worker3:2003,monte_carlo,2000000,1,1,901,,0.10,8064.00,819200.00,0.80,
worker3:2003,monte_carlo,2000000,1,2,901,,0.10,8064.00,819200.00,0.80,
worker6:2006,monte_carlo,2000000,2,1,422,,0.19,8256.00,2097152.00,2.00,
worker6:2006,monte_carlo,2000000,2,2,422,,0.19,8256.00,2097152.00,2.00,
worker5:2005,monte_carlo,2000000,2,1,426,,65.27,15544.00,1572864.00,1.50,
worker5:2005,monte_carlo,2000000,2,2,426,,65.27,15544.00,1572864.00,1.50,
worker6:2006,monte_carlo,2000000,3,1,340,,84.01,15456.00,2097152.00,2.00,
worker6:2006,monte_carlo,2000000,3,2,341,,84.01,15456.00,2097152.00,2.00,
worker2:2002,monte_carlo,2000000,1,1,1212,,0.15,8224.00,512000.00,0.50,
worker2:2002,monte_carlo,2000000,1,2,1312,,0.15,8224.00,512000.00,0.50,
worker4:2004,monte_carlo,2000000,2,1,631,,55.85,8728.00,1048576.00,1.00,
worker4:2004,monte_carlo,2000000,2,2,632,,55.85,8728.00,1048576.00,1.00,
worker5:2005,monte_carlo,2000000,3,1,446,,65.27,15544.00,1572864.00,1.50,
worker5:2005,monte_carlo,2000000,3,2,446,,65.27,15544.00,1572864.00,1.50,
worker3:2003,monte_carlo,2000000,2,1,638,,53.88,15012.00,819200.00,0.80,
worker3:2003,monte_carlo,2000000,2,2,738,,53.88,15012.00,819200.00,0.80,
worker4:2004,monte_carlo,2000000,3,1,530,,55.85,8728.00,1048576.00,1.00,
worker4:2004,monte_carlo,2000000,3,2,630,,55.85,8728.00,1048576.00,1.00,
worker6:2006,monte_carlo,4000000,1,1,626,,84.01,15456.00,2097152.00,2.00,
worker6:2006,monte_carlo,4000000,1,2,725,,84.01,15456.00,2097152.00,2.00,
worker1:2001,monte_carlo,2000000,1,1,1914,,0.25,8452.00,307200.00,0.30,
worker1:2001,monte_carlo,2000000,1,2,2110,,0.25,8452.00,307200.00,0.30,
worker5:2005,monte_carlo,4000000,1,1,733,,65.27,15544.00,1572864.00,1.50,
worker5:2005,monte_carlo,4000000,1,2,833,,65.27,15544.00,1572864.00,1.50,
worker3:2003,monte_carlo,2000000,3,1,723,,69.81,15284.00,819200.00,0.80,
worker3:2003,monte_carlo,2000000,3,2,723,,69.81,15284.00,819200.00,0.80,
worker2:2002,monte_carlo,2000000,2,1,1036,,31.08,14948.00,512000.00,0.50,
worker2:2002,monte_carlo,2000000,2,2,1149,,31.08,14948.00,512000.00,0.50,
worker6:2006,monte_carlo,4000000,2,1,727,,155.05,15316.00,2097152.00,2.00,
worker6:2006,monte_carlo,4000000,2,2,728,,155.05,15316.00,2097152.00,2.00,
worker5:2005,monte_carlo,4000000,2,1,842,,131.29,15304.00,1572864.00,1.50,
worker5:2005,monte_carlo,4000000,2,2,842,,131.29,15304.00,1572864.00,1.50,
worker4:2004,monte_carlo,4000000,1,1,1234,,93.03,15196.00,1048576.00,1.00,
worker4:2004,monte_carlo,4000000,1,2,1235,,93.03,15196.00,1048576.00,1.00,
worker6:2006,monte_carlo,4000000,3,1,741,,154.00,11932.00,2097152.00,2.00,
worker6:2006,monte_carlo,4000000,3,2,742,,154.00,11932.00,2097152.00,2.00,
worker2:2002,monte_carlo,2000000,3,1,1141,,47.31,15184.00,512000.00,0.50,
worker2:2002,monte_carlo,2000000,3,2,1241,,47.31,15184.00,512000.00,0.50,
worker3:2003,monte_carlo,4000000,1,1,1437,,69.81,15284.00,819200.00,0.80,
worker3:2003,monte_carlo,4000000,1,2,1337,,69.81,15284.00,819200.00,0.80,
worker1:2001,monte_carlo,2000000,2,1,1834,,30.13,15304.00,307200.00,0.30,
worker1:2001,monte_carlo,2000000,2,2,1834,,30.13,15304.00,307200.00,0.30,
worker5:2005,monte_carlo,4000000,3,1,823,,135.84,15268.00,1572864.00,1.50,
worker5:2005,monte_carlo,4000000,3,2,726,,135.84,15268.00,1572864.00,1.50,
worker4:2004,monte_carlo,4000000,2,1,1126,,91.99,15064.00,1048576.00,1.00,
worker4:2004,monte_carlo,4000000,2,2,1126,,91.99,15064.00,1048576.00,1.00,
worker6:2006,monte_carlo,6000000,1,1,948,,154.00,11932.00,2097152.00,2.00,
worker6:2006,monte_carlo,6000000,1,2,949,,154.00,11932.00,2097152.00,2.00,
worker3:2003,monte_carlo,4000000,2,1,1329,,75.53,11916.00,819200.00,0.80,
worker3:2003,monte_carlo,4000000,2,2,1429,,75.53,11916.00,819200.00,0.80,
